"","","","","","","","","","","",""
"","Exports, FOB to Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Sweden","137,980.03","164,242.08","152,642.39","151,450.89","155,244.12","133,472.51","135,001.00","147,311.89","161,657.66","152,826.33"
"","Switzerland","232,947.07","300,912.14","288,658.46","319,607.20","273,095.73","256,514.40","257,639.63","268,199.14","276,718.67","277,307.68"
"","Taiwan Province of China","225,798.45","255,711.04","248,350.33","247,846.83","254,563.76","220,103.62","206,984.09","226,368.09","256,970.70","261,329.72"
"","United Kingdom","578,460.85","672,734.78","687,534.60","669,038.37","692,745.78","641,721.05","647,854.31","657,373.99","686,985.13","697,050.92"
"","United States","1,825,082.92","2,112,662.45","2,153,885.03","2,162,025.91","2,260,112.27","2,129,102.58","2,083,496.16","2,244,419.94","2,464,230.76","2,428,760.73"
"","Emerging and Developing Economies","5,259,403.70","6,440,832.45","6,766,026.80","6,974,096.72","6,986,059.01","6,014,968.29","5,714,261.44","6,488,574.51","7,142,581.48","7,040,355.26"
"","Emerging and Developing Asia","2,359,959.01","2,902,098.19","3,048,008.29","3,159,411.88","3,166,485.92","2,793,729.41","2,685,373.68","3,158,042.25","3,564,198.30","3,495,193.80"
"","American Samoa","92.59","234.61","240.99","256.82","226.85","160.45","227.14","142.54","184.17","212.40"
"","Bangladesh","27,376.98","34,371.98","32,950.66","36,846.97","42,335.77","42,453.66","43,632.64","50,630.72","57,751.06","58,128.83"
"","Bhutan","261.70","340.17","319.10","381.31","369.06","548.11","496.67","480.03","773.57","776.11"
"","Brunei Darussalam","2,901.57","5,842.21","5,896.90","7,755.02","6,559.05","5,548.34","3,355.98","2,798.75","4,568.03","4,617.68"
"","Cambodia","9,970.17","11,502.35","13,957.64","15,492.17","15,920.08","16,478.25","16,233.23","20,848.89","27,635.57","28,301.48"
"","China, P.R.: Mainland","1,253,312.24","1,534,548.72","1,563,259.41","1,651,350.36","1,646,028.73","1,439,871.81","1,378,644.60","1,648,924.87","1,860,294.75","1,824,119.52"
"","Fiji, Rep. of","1,452.01","1,884.00","1,965.08","2,410.64","2,228.92","2,034.62","2,031.39","2,116.36","2,492.26","2,524.41"
"","French Polynesia","1,527.26","1,746.36","1,630.20","1,568.46","1,628.93","1,344.50","1,378.07","1,468.76","1,768.94","1,985.42"
"","Guam","931.16","1,080.60","1,167.60","917.61","1,170.97","798.63","766.03","1,006.40","957.55","882.77"
"","India","349,635.81","436,242.31","475,965.95","446,796.90","443,348.13","373,398.00","346,619.91","419,068.18","484,210.08","455,279.55"
"","Indonesia","142,541.44","184,055.30","202,107.30","197,419.42","188,570.22","149,330.36","140,514.00","150,536.02","181,984.32","173,744.01"
"","Kiribati","98.44","142.15","156.32","181.94","181.06","182.02","136.82","128.01","106.47","97.71"
