"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Sweden","155,567.69","184,052.05","175,157.50","172,206.63","170,693.92","145,368.68","141,765.70","156,748.62","169,831.36","161,943.36"
"","Switzerland","235,915.97","307,293.14","309,380.01","341,795.74","313,447.69","264,187.77","309,154.06","309,423.45","329,846.52","326,197.38"
"","Taiwan Province of China","336,413.15","369,183.33","374,374.89","407,347.47","413,324.01","392,421.16","377,921.55","419,721.00","467,872.95","467,433.71"
"","United Kingdom","401,924.94","462,497.54","463,452.44","522,832.89","481,328.61","429,724.55","394,473.53","425,392.03","476,192.33","445,289.68"
"","United States","1,227,873.28","1,435,366.44","1,507,680.48","1,514,729.83","1,559,606.12","1,448,800.71","1,388,812.62","1,499,187.63","1,635,097.80","1,605,464.33"
"","Emerging and Developing Economies","6,247,975.55","7,614,759.23","7,941,599.22","7,932,719.60","7,973,410.95","6,836,676.40","6,577,173.03","7,404,387.61","8,285,503.52","8,122,674.36"
"","Emerging and Developing Asia","2,911,966.60","3,373,316.41","3,493,686.85","3,568,066.48","3,746,558.03","3,623,337.04","3,576,445.24","3,938,944.50","4,280,633.43","4,259,162.31"
"","American Samoa","28.45","51.87","93.92","53.65","62.33","30.27","39.75","45.40","66.21","28.24"
"","Bangladesh","18,802.61","24,320.13","25,763.42","28,715.61","31,159.54","33,141.23","34,691.21","35,945.08","39,671.82","41,782.34"
"","Bhutan","207.72","219.59","218.54","170.30","214.19","342.53","259.99","261.84","352.55","330.96"
"","Brunei Darussalam","9,000.72","12,531.80","13,012.61","11,219.58","10,212.88","6,336.83","4,763.66","5,356.18","6,351.63","6,697.99"
"","Cambodia","5,476.14","7,360.97","8,934.00","10,137.54","11,974.31","13,671.90","16,188.96","16,539.18","18,753.78","24,535.81"
"","China, P.R.: Mainland","1,809,275.00","2,062,379.45","2,152,454.84","2,216,982.31","2,345,310.78","2,306,809.12","2,242,447.76","2,430,049.43","2,633,301.71","2,564,216.81"
"","Fiji, Rep. of","784.96","817.67","878.65","856.31","989.31","882.35","779.41","772.28","703.06","719.13"
"","French Polynesia","210.14","243.95","238.96","198.88","200.84","185.75","182.47","201.61","216.95","202.93"
"","Guam","75.98","109.74","100.98","113.33","66.14","78.17","84.18","134.83","159.61","149.49"
"","India","229,160.54","285,522.09","279,020.40","283,055.31","287,332.95","256,152.85","250,701.63","287,992.45","319,483.19","328,354.19"
"","Indonesia","177,223.19","222,548.76","218,825.23","210,564.51","201,669.06","174,192.48","166,666.75","191,158.67","209,326.26","203,298.24"
"","Kiribati","25.18","58.35","66.85","82.17","82.74","134.53","143.85","179.98","152.35","132.25"
"","Lao People's Dem. Rep.","2,011.69","2,980.45","3,217.62","3,776.72","4,643.25","4,042.84","4,436.05","5,092.79","6,038.67","6,209.09"
"","Malaysia","262,405.38","301,123.95","299,830.57","301,054.71","304,612.12","273,945.30","260,852.53","293,356.92","330,640.20","331,258.10"
"","Maldives","146.99","210.97","231.30","252.56","211.12","240.08","274.61","412.14","581.74","547.81"
"","Marshall Islands, Rep. of the","234.15","291.79","263.90","451.03","412.99","474.04","222.83","630.76","663.97","890.56"
"","Micronesia, Federated States of","5.31","6.71","52.19","22.52","18.56","15.95","47.83","113.87","152.80","183.83"
"","Mongolia","3,086.76","4,285.90","4,462.80","4,174.05","5,727.58","4,490.12","4,557.73","5,955.33","7,328.31","7,208.21"
"","Myanmar","6,692.60","8,731.13","8,655.41","10,932.94","24,185.24","13,167.68","11,596.70","13,135.50","15,262.63","18,934.97"
"","Nauru, Rep. of","77.16","76.03","98.89","88.18","58.31","46.62","19.62","40.28","37.58","64.76"
"","Nepal","837.37","872.54","923.69","856.61","972.36","835.98","743.91","1,375.75","1,288.92","1,469.42"
"","New Caledonia","1,479.16","1,838.23","1,476.88","1,426.80","1,626.37","1,472.30","1,362.71","1,549.18","2,050.83","1,784.65"
"","Palau, Rep. of","17.25","18.77","24.49","17.37","15.01","13.16","11.04","21.40","28.97","22.96"
"","Papua New Guinea","6,637.37","8,587.77","8,067.11","6,993.67","10,192.06","9,958.12","8,999.48","10,370.15","11,196.69","11,701.53"
"","Philippines","73,314.74","74,904.90","75,251.73","73,355.54","79,905.46","76,697.95","76,480.32","88,938.30","95,970.95","94,249.43"
